FRASERS PROP THA INDUST FHLH.REIT |174
FUTURE PARK LEASEHOLD PROPERTY |175
GRANDE HOSPITALITY REIT UNIT |176
GLOBLEX HOLDING |177
GLOBAL CONNECTIONS |178
GENERAL ENGINEERING |179
GENERAL ENV.CVT. |180
GFPT |181
GLOBAL GREEN CHEMICALS |182
GRATITUDE INFINITE |183
G J STEEL |184
GRAND CANAL LAND |185
SIAM GLOBAL HOUSE |186
GLOBAL CONSUMER |187
GOLD PROPERTY (LEASE HOLD) |188
GRAND PRIX INTERNATIONAL |189
GLOBAL POWER SYNERGY |190
GMM GRAMMY |191
GRANDE ASST.HTLS.& PR. |192
GREEN RESOURCES |193
GULF ENERGY DEVELOPMENT |194
GUNKUL ENGINEERING |195
GOLDEN VENTURES LEASEHOLD REIT |196
GOODYEAR (THAILAND) |197
HANA MICROELECTRONICS |198
HWA FONG RUBBER (THAI.) |199
HOME PRODUCT CENTER |200
HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD |201
HEMARAJ LEASEHOLD REIT UNITS |202
HAAD THIP |203
HALCYON TECHNOLOGY |204
HUMANICA |205
ICC INTERNATIONAL |206
ICHITAN GROUP |207
IFS CAP.(THAILAND) |208
INTERHIDES |209
TRIPLE I LOGISTICS |210
INTERLINK COMMUNICATION |211
INDEX LIVING M |212
IPCT.GW.REIT.TST. UTS. |213
INTERNET THAILAND |214
INGRESS INDUSTRIAL |215
POSCO-THAINOX |216
INDARA INSURANCE |217
INTOUCH HOLDINGS |218
INOUE RUBBER |219
IRPC |220
IT CITY |221
ITALIAN-THAI DEVELOPMENT |222
INDORAMA VENTURES |223
JAS ASSET |224
JASMINE INTERNATIONAL |225
JASMINE BROADBAND INET. INFRASTRUCTURE FUND |226
JCK INTERNATIONAL ORS |227
JACK CHIA INDUSTRIES |228
JKN GLOBAL MEDIA |229
JAY MART |230
JMT NETWORK SERVICES |231
JAS ASSET NVDR |232
JASMINE TELECOM SYS. |233
JUTHA MARITIME |234
JWD INFOLOGISTICS |235
KARMARTS |236
KASIKORNBANK |237
KHONBURI SUGAR |238
KHONBURI SUG.PWPL. INFR. |239
KRUNGTHAI CAR RENT AND LEASE |240
KCE ELECTRONICS |241
THONBURI MEDICAL CENTRE |242
KERRY EXPRESS (THAILAND) |243
KGI SECURITIES |244
ROJUKISS INTERNATIONAL |245
KULTHORN KIRBY |246
KIATNAKIN PHATRA BANK |247
KPN PROPERTY |248
KHON KAEN SUGAR |249
KRUNG THAI BANK |250
KRUNGTHAI CARD |251
KASET THAI INTERNATIONAL SUG. |252
KRUNGDHEP SOPHON |253
KING WAI GROUP |254
KANG YONG ELECTRIC |255
LIGHTING & EQUIPMENT |256
LALIN PROPERTY |257
LANNA RESOURCES |258
LEE FEED MILL |259
LAND AND HOUSES |260
LH FINANCIAL GP. |261
LH HTL.LH.REIT.TST. UTS. |262
LOHAKIT METAL |263
LD.&.HSES.FH.AND LH.PR. |264
LH SHOPPING CENTERS LEASEHOLD REIT |265
LOXLEY |266
LOTUS S RET.GW. FREEHOLD&LEASEHOLD PR. |267
LADPRAO GENERAL HOSPITAL |268
LPN DEVELOPMENT |269
LAGUNA RESORTS & HOTELS |270
LAM SOON |271
LUXURY REAL ESTATE INVESTMENT |272
MAHACHAI HOSPITAL |273
MFC IINV.PR.&.LH. |274
MFC PATONG HERITAGE PROPERTY |275
MFC-STRATEGIC STORAGE |276
MK RESTAURANT GROUP |277
MASTER AD |278
MAJOR CINEPLEX GROUP |279
SIAM MAKRO |280
MALEE GROUP |281
MANDARIN HOTEL |282
MATCHING MAXIMIZE SLN. |283
MATICHON |284
