ASIA AVIATION - TOT RETURN IND,ADVANCED INFO SER. - TOT RETURN IND,AIRPORTS OF THAILAND - TOT RETURN IND,ASIAN SEA CORPORATION - TOT RETURN IND,ASIA SERMKIJ LEASING - TOT RETURN IND,BGK.AVIATION FUEL SVS. - TOT RETURN IND,BANK OF AYUDHYA - TOT RETURN IND,BANGKOK BANK - TOT RETURN IND,BANGCHAK CORPORATION ORS - TOT RETURN IND,BANGKOK DUSIT MED.SVS. - TOT RETURN IND,BANGKOK EXPRESSWAY AND METRO - TOT RETURN IND,BANGKOK INSURANCE - TOT RETURN IND,BANGKOK LIFE ASSURANCE - TOT RETURN IND
87190C(RI),314926(RI),28530Q(RI),140261(RI),31572P(RI),15382P(RI),749549(RI),933079(RI),140346(RI),314898(RI),8836T4(RI),755194(RI),68032M(RI)
,9672.74,158.82,176,273.9,290.64,449.26,1693.97,77.32,6051.09,,4439.95,309.56
,9897.04,160.21,179.45,278.43,290.64,449.26,1698.43,79.38,6068.33,,4439.95,307.85
,10037.22,163.67,182.9,289.75,290.64,453.46,1698.43,80.07,6189,,4458.3,311.26
,10037.22,158.82,177.73,280.69,294.74,449.26,1667.22,79.73,6240.72,,4458.3,302.75
,10009.18,160.9,181.18,285.22,292.69,453.46,1685.05,80.42,6326.92,,4439.95,309.56
,10205.45,158.12,180.32,280.69,292.69,445.06,1689.51,79.73,6161.42,,4439.95,326.56
,10345.63,160.21,179.45,282.95,290.64,457.65,1689.51,81.1,6091.61,,4458.3,321.46
,10345.63,160.21,179.45,280.69,294.74,461.85,1667.22,81.79,6143.97,,4458.3,321.46
,10317.59,158.12,179.45,282.95,294.74,453.46,1649.39,81.45,6143.97,,4458.3,324.86
,10317.59,161.59,186.36,282.95,292.69,453.46,1649.39,81.45,6056.7,,4458.3,326.56
,10416.28,160.9,189.81,282.95,292.69,449.26,1653.85,80.76,6021.79,,4458.3,321.46
,10473.67,158.12,194.12,287,292.69,445.06,1698.43,84.88,6440.69,,4476.64,321.46
,10416.28,158.82,194.98,284.36,290.64,424.06,1680.59,83.51,6266.15,,4458.3,324.86
,10014.55,157.43,189.81,281.73,294.74,419.87,1658.31,82.82,6283.6,,4458.3,318.06
,10014.55,157.43,189.81,281.73,294.74,419.87,1658.31,82.82,6283.6,,4458.3,318.06
,10014.55,157.43,189.81,281.73,294.74,419.87,1658.31,82.82,6283.6,,4458.3,318.06
,9727.6,157.43,186.36,276.47,290.64,414.83,1636.02,81.79,6091.61,,4421.6,309.56
,9469.35,158.12,188.08,273.83,288.6,418.19,1631.56,79.73,6074.15,,4439.95,309.56
,9641.52,160.9,189.81,279.1,290.64,424.06,1658.31,80.42,6039.24,,4439.95,311.26
,9641.52,160.9,189.81,279.1,290.64,424.06,1658.31,80.42,6039.24,,4439.95,311.26
,9641.52,160.9,189.81,279.1,290.64,424.06,1658.31,80.42,6039.24,,4439.95,311.26
,9698.91,160.9,194.12,276.47,288.6,428.26,1685.05,81.79,5934.52,,4439.95,307.85
,9584.13,159.51,196.71,276.47,288.6,432.46,1685.05,82.48,6056.7,,4458.3,309.56
,9727.6,160.9,204.47,279.1,294.74,445.06,1747.46,84.54,6039.24,,4458.3,314.66
,9985.86,161.59,205.34,273.83,288.6,440.86,1756.56,84.2,6039.24,,4476.64,319.76
,10071.94,163.67,202.75,273.83,288.6,445.06,1701.95,83.51,6021.79,,4458.3,311.26
,10272.8,168.53,205.34,273.83,288.6,449.26,1688.3,86.77,6213.79,,4531.68,314.66
,10272.8,167.14,203.61,276.47,286.55,453.46,1674.65,85.91,6161.42,,4531.68,323.16
,10502.37,164.37,194.98,276.47,288.6,466.05,1679.2,85.91,6178.88,,4513.34,326.56
,10416.28,167.83,191.53,284.36,286.55,461.85,1692.85,86.77,6423.24,,4513.34,318.06
,10502.37,171.99,194.55,279.1,286.55,471.93,1738.36,87.63,6423.24,,4531.68,318.06
,10502.37,171.99,194.55,279.1,286.55,471.93,1738.36,87.63,6423.24,,4531.68,318.06
,10416.28,172.69,195.44,279.1,286.55,480.43,1752.01,86.77,6405.79,,4568.38,324.86
,10416.28,170.61,194.55,281.73,286.55,480.43,1742.91,85.91,6405.79,,4605.07,324.86
,10330.2,169.91,202.58,284.36,284.5,488.94,1724.71,84.2,6335.96,,4568.38,338.47
,10330.2,169.91,202.58,284.36,284.5,488.94,1724.71,84.2,6335.96,,4568.38,338.47
,10846.71,173.38,206.15,281.73,282.4,484.68,1752.01,84.2,6353.42,,4586.72,340.17
,10731.93,167.83,238.73,276.47,286.61,476.18,1683.75,82.13,6335.96,,4550.03,328.88
,10444.98,167.83,205.26,273.83,282.4,463.43,1647.35,80.42,6318.51,,4531.68,318.6
,10358.89,166.45,200.8,276.47,278.18,459.17,1638.24,82.13,6283.6,,4550.03,313.46
,10301.5,164.37,183.84,271.2,273.97,459.17,1615.49,78.35,6318.51,,4531.68,299.76
,10502.37,165.75,189.2,271.2,271.86,467.68,1638.24,80.76,6283.6,,4531.68,310.04
,10502.37,165.06,189.2,273.83,271.86,467.68,1638.24,79.38,6213.79,,4494.99,315.17
,10760.62,165.06,186.52,276.47,269.75,484.68,1651.9,80.07,6266.15,,4476.64,310.04
,10531.06,162.29,184.73,276.47,278.18,459.17,1642.8,78.01,6178.88,,4403.25,306.61
,10215.42,161.59,187.41,273.83,273.97,459.17,1579.09,75.95,6213.79,,4403.25,298.05
,10186.72,158.82,186.52,273.83,269.75,467.68,1601.84,75.95,6178.88,,4439.95,296.33
,10387.59,153.96,186.52,263.3,265.54,463.43,1597.29,75.6,6091.61,,4458.3,298.05
,10416.28,152.58,187.41,268.57,269.75,467.68,1651.9,76.64,6161.42,,4490.4,304.9
,10473.67,154.66,188.3,268.57,271.86,467.68,1624.59,77.32,6161.42,,4453.29,308.32
,10674.54,154.66,185.63,265.93,271.86,480.43,1642.8,77.32,6335.96,,4453.29,318.6
,10617.14,158.12,186.52,268.57,271.86,488.94,1642.8,79.04,6353.42,,4490.4,316.89
,10416.28,158.12,182.95,271.2,269.75,488.94,1638.24,76.64,6283.6,,4490.4,310.04
100,10272.8,156.74,182.95,268.57,267.64,480.43,1638.24,78.01,6248.7,,4508.96,320.31
89.19,10301.5,155.35,176.7,268.57,261.32,463.43,1565.43,76.64,6213.79,,4471.85,303.18
89.19,10301.5,155.35,176.7,268.57,261.32,463.43,1565.43,76.64,6213.79,,4471.85,303.18
82.16,10158.03,155.35,169.56,265.93,252.89,442.17,1547.23,75.95,6196.33,,4453.29,303.18
